Unnamed: 0,Ten_quan,Mo_hinh,Dia_chi,Gio_mo_cua,Phong_cach,Gia,Huong_di,Doi_tac,Mon_an_noi_bat,Link_drive
55,Lẩu cá Tầm Ngư Sơn,Ăn Tối,Hẻm 33 Phan Đình,11:00 - 22:00,Hiện đại,~100k - 350k,Trung Tâm,,Lẩu,Lẩu cá Tầm Ngư Sơn
56,Xuyên tiêu - Lẩu Hồng Kông,Ăn Tối,30 Huỳnh Thúc Kháng,1:00 - 14:00 & 17:00 - 22:00,Hàn Quốc,~79k - 149k,Trung Tâm,,Lẩu,Xuyên tiêu - Lẩu Hồng Kông
57,Tiệm gà Túk Túk,Ăn Tối,39 Trần Đại Nghĩa,10:00 - 23:00,Hiện đại,~89k - 699k,Trung Tâm,,"Gà nướng, cơm",Tiệm gà Túk Túk
58,Bún bò Thiên Trang,Ăn Sáng,2B Hồ Tùng Mậu,06:00 - 16:00,Hiện đại,~75k,Trung Tâm,,Bún bò,Bún bò Thiên Trang
59,Tiệm Cơm Hồi Nớ,Ăn Trưa,04 Trần Hưng Đạo,09:30 - 16:00,Vintage,~55k,Trung Tâm,,Cơm phần theo ngày,Tiệm Cơm Hồi Nớ
60,Tiệm Cơm Hồi Đó,Ăn Trưa,05 Lý Nam Đế,10:00 - 16:00,Vintage,~55k,Trung Tâm,,Cá Kho Tộ,Tiệm Cơm Hồi Đó
61,Bánh Ướt Lòng Gà Thảo,Ăn Sáng,B6 - 12A Đ. Triệu Việt Vương,07:00 - 16:30,Hiện đại,~30k - 100k,Trung Tâm,,Bánh Ướt Lòng Gà Trứng Non,Bánh Ướt Lòng Gà Thảo
62,Tiệm Cháo Hàu Huỳnh Văn,Ăn Tối,49 Đ. An Dương Vương,14:30 - 21:00,Vintage,~45k - 115k,Trung Tâm,,Cháo Hàu Sữa,Tiệm Cháo Hàu Huỳnh Văn
63,Lẩu Bò Thố Đá O Chín,Ăn Sáng,23 Nguyễn Chí Thanh,06:00 - 17:00,Hiện đại,~45k,Trung Tâm,,Bún Bò Thố Đá Đặc Biệt,Lẩu Bò Thố Đá O Chín
64,Quán Nướng Chu,Ăn Tối,LÔ B1_ 18 KQH GOLF VALLEY,12:00 - 00:00,Hiện đại,~55k - 250k,Trung Tâm,,quán nướng,Quán Nướng Chu
